Variable Type,Variable,Information,Variable Schema,Dashboard,Categories,Notes,Data Link,Reference,Internal Model Variable,Default LHS Scalar Minimum at Final Time Period,Default LHS Scalar Maximum at Final Time Period,Emissions Total by Gas Component
Input,Average Industrial Energy Fuel Efficiency Factor," | Average efficiency for industrial energy using fuel ``$CAT-FUEL$``. 
 | 
 | **Only Applied to Industrial Energy use**",``efficfactor_enfu_industrial_energy_$CAT-FUEL$``,,``fuel_coal``|``fuel_coke``|``fuel_diesel``|``fuel_electricity``|``fuel_furnace_gas``|``fuel_gasoline``|``fuel_hydrocarbon_gas_liquids``|``fuel_hydrogen``|``fuel_kerosene``|``fuel_natural_gas``|``fuel_oil``|``fuel_solar``|``fuel_biomass``,,,,0,1,1,0
Input,Electrical Transmission Loss,Loss of electricity in transmission lines. Inflates total demand for electrical energy production.,``frac_enfu_transmission_loss_$CAT-FUEL$``,,``fuel_electricity``,,,,0,1,1,0
Input,Fraction of Fuel Demand Imported,Fraction of total fuel demand that is imported.,``frac_enfu_fuel_demand_imported_$UNIT-ENERGY$_$CAT-FUEL$`` (``$UNIT-ENERGY$ = pj``),,``fuel_coal``|``fuel_crude``|``fuel_diesel``|``fuel_electricity``|``fuel_gasoline``|``fuel_hydrogen``|``fuel_kerosene``|``fuel_natural_gas``|``fuel_oil``,,,,0,1,1,0
Input,Fuel Exports,Total exports of a fuel (in units of energy). Used to estimate demand for production in relevant sectors (fugitive emissions and electricity generation).,``exports_enfu_$UNIT-ENERGY$_$CAT-FUEL$`` (``$UNIT-ENERGY$ = pj``),,``fuel_coal``|``fuel_crude``|``fuel_diesel``|``fuel_electricity``|``fuel_gasoline``|``fuel_hydrogen``|``fuel_kerosene``|``fuel_natural_gas``|``fuel_oil``,,,,0,1,1,0
Input,Gravimetric Energy Density,Specific energy of fuels that are provided in terms of mass.,"``energydensity_gravimetric_enfu_$UNIT-ENERGY$_per_$UNIT-MASS$_$CAT-FUEL$`` (``$UNIT-MASS$ = tonne``, ``$UNIT-ENERGY$ = gj``)",,``fuel_biogas``|``fuel_nuclear``|``fuel_waste``," | See `IEA Bioenergy <https://www.ieabioenergy.com/wp-content/uploads/2013/10/40_IEAPositionPaperMSW.pdf>` for some estimates for the specific energy of MSW
 | 
 | See `What is Nuclear <https://www.whatisnuclear.com/energy-density.html>`_ for estimate of energy density of :math:`\text{U}_{235}`, :math:`\text{U}_{238}/\text{Pu}_{239}`, and :math:`\text{Th}_{232}/\text{U}_{233}`
 | 
 | For biogas, use an approximation of 55% of specific energy of :math:`\text{CH}_4` (estimated as 55.6 :math:`\frac{MJ}{kg}`), giving approximately 30.58 :math:`\frac{MJ}{kg}`. (see `Cuellar and Webber [2008] <https://iopscience.iop.org/article/10.1088/1748-9326/3/3/034002>`_)",,,0,1,1,0
Input,Gravimetric Fuel Price,"Fuel price for fuels using units of mass (e.g., nuclear)","``cost_enfu_$CAT-FUEL$_$UNIT-MONETARY$_per_$UNIT-MASS$`` (``$UNIT-MONETARY$ = usd``, ``$UNIT-MASS$ = tonne``)",,``fuel_nuclear``,,,,0,1,1,0
Input,Minimum Fraction of Fuel Used for Electricity Generation,"Depending on renewable resource availability and pricing, the use of biogas may not be the most cost-effective renewable fuel available. This parameter ensures that a some minimum fraction of collected biogas is used within the region. ",``frac_enfu_minimum_fuel_to_electricity_$CAT-FUEL$``,,``fuel_biogas``|``fuel_waste``,,,,0,1,1,0
Input,Thermal Fuel Price,"Fuel price for fuels using units of thermal energy (e.g., natural gas)","``cost_enfu_$CAT-FUEL$_$UNIT-MONETARY$_per_$UNIT-ENERGY$`` (``$UNIT-MONETARY$ = usd``, ``$UNIT-ENERGY$ = mmbtu``)",,``fuel_natural_gas``,,,,0,1,1,0
Input,Volumetric Energy Density,,"``energydensity_enfu_$UNIT-ENERGY$_per_$UNIT-VOLUME$_$CAT-FUEL$`` (``$UNIT-VOLUME$ = litre``, ``$UNIT-ENERGY$ = mj``)",,``fuel_biofuels``|``fuel_biomass``|``fuel_coal``|``fuel_coke``|``fuel_diesel``|``fuel_biogas``|``fuel_furnace_gas``|``fuel_gasoline``|``fuel_hydrocarbon_gas_liquids``|``fuel_hydrogen``|``fuel_kerosene``|``fuel_natural_gas``|``fuel_oil``,,,,0,1,1,0
Input,Volumetric Fuel Price,"Fuel price for fuels using units of volume (e.g., oil)","``cost_enfu_$CAT-FUEL$_$UNIT-MONETARY$_per_$UNIT-VOLUME$`` (``$UNIT-MONETARY$ = usd``, ``$UNIT-VOLUME$ = m3``)",,``fuel_biomass``|``fuel_coal``|``fuel_oil``,,,,0,1,1,0
Output,Electricity Imports,,``imports_enfu_$CAT-FUEL$_$UNIT-ENERGY$`` (``$UNIT-ENERGY$ = pj``),,``fuel_electricity``,,,,1,1,1,0
Output,Fuel Imports,,``imports_enfu_$CAT-FUEL$_$UNIT-ENERGY$`` (``$UNIT-ENERGY$ = pj``),,``fuel_coal``|``fuel_natural_gas``|``fuel_oil``,,,,1,1,1,0
Output,Fuel Production,,``prod_enfu_$CAT-FUEL$_$UNIT-ENERGY$`` (``$UNIT-ENERGY$ = pj``),,``fuel_coal``|``fuel_natural_gas``|``fuel_oil``,,,,1,1,1,0
Output,Unused Fuel Exported,,``exports_enfu_unused_$CAT-FUEL$_$UNIT-ENERGY$`` (``$UNIT-ENERGY$ = pj``),,``fuel_biogas``|``fuel_waste``,,,,1,1,1,0
