Variable Type,Variable,Information,Variable Schema,Dashboard,Categories,Notes,Data Link,Reference,Internal Model Variable,Default LHS Scalar Minimum at Final Time Period,Default LHS Scalar Maximum at Final Time Period
Input,:math:`\text{EF}_{1FR} - \text{N}_2\text{O}` Rice Fields," | See :math:`EF_{1FR}` from Table 11.1 in V4, C11 IPCC GNGHGI 2019R
 | 
 | This emission factor is given by the IPCC as kg :math:`\text{N}_2\text{O-N}`(kg :math:`\text{NH}_3\text{-N} + \text{NO}_x\text{-N}`), and it is multipled in the by the factor 11/7 to convert :math:`\text{N}_2\text{O-N}` to  :math:`\text{N}_2\text{O}`.",``ef_soil_ef1_n_rice_fields_$EMISSION-GAS$`` (``$EMISSION-GAS$ = n2o``),,none,,,,0,0.8,1.2
Input,:math:`\text{EF}_1 - \text{N}_2\text{O}` Organic Amendments and Fertilizer," | See :math:`EF_1` from Table 11.1 in V4, C11 IPCC GNGHGI 2019R
 | 
 | This emission factor is given by the IPCC as kg :math:`\text{N}_2\text{O-N}`(kg :math:`\text{NH}_3\text{-N} + \text{NO}_x\text{-N}`), and it is multipled in the by the factor 11/7 to convert :math:`\text{N}_2\text{O-N}` to  :math:`\text{N}_2\text{O}`.",``ef_soil_ef1_n_synthetic_fertilizer_$EMISSION-GAS$_$CAT-SOIL-MANAGEMENT$`` (``$EMISSION-GAS$ = n2o``),,``dry_climate``|``wet_climate``,,,,0,0.8,1.2
Input,:math:`\text{EF}_1 - \text{N}_2\text{O}` Synthetic Fertilizer," | See :math:`EF_1` from Table 11.1 in V4, C11 IPCC GNGHGI 2019R
 | 
 | This emission factor is given by the IPCC as kg :math:`\text{N}_2\text{O-N}`(kg :math:`\text{NH}_3\text{-N} + \text{NO}_x\text{-N}`), and it is multipled in the by the factor 11/7 to convert :math:`\text{N}_2\text{O-N}` to  :math:`\text{N}_2\text{O}`.",``ef_soil_ef1_n_organic_amerndments_fertilizer_$EMISSION-GAS$_$CAT-SOIL-MANAGEMENT$`` (``$EMISSION-GAS$ = n2o``),,``dry_climate``|``wet_climate``,,,,0,0.8,1.2
Input,:math:`\text{EF}_2 - \text{N}_2\text{O}` Emissions from Drained and Managed Organic Soils," | See :math:`EF_2` from `2013 Supplement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories <https://www.ipcc.ch/publication/2013-supplement-to-the-2006-ipcc-guidelines-for-national-greenhouse-gas-inventories-wetlands/>`_
 | 
 | This emission factor is given by the IPCC as kg :math:`\text{N}_2\text{O-N}`(kg :math:`\text{NH}_3\text{-N} + \text{NO}_x\text{-N}`), and it is multipled in the by the factor 11/7 to convert :math:`\text{N}_2\text{O-N}` to  :math:`\text{N}_2\text{O}`.",``ef_soil_ef2_n_drained_managed_soild_$EMISSION-GAS$_$CAT-SOIL-MANAGEMENT$`` (``$EMISSION-GAS$ = n2o``),,``temperate_crop_grass``|``temperate_forest_nutrient_rich``|``temperate_forest_nutrient_poor``|``tropical_crop_grass``|``tropical_forest``,,,,0,0.8,1.2
Input,EF3 N Pasture Range and Paddock," | See :math:`EF_{3PRP}` from Table 11.1 in V4, C11 IPCC GNGHGI 2019R
 | 
 | This emission factor is given by the IPCC as kg :math:`\text{N}_2\text{O-N}`(kg N), and it is multipled in the by the factor 11/7 to convert :math:`\text{N}_2\text{O-N}` to  :math:`\text{N}_2\text{O}`.",``ef_soil_ef3_pasture_$EMISSION-GAS$_$CAT-SOIL-MANAGEMENT$`` (``$EMISSION-GAS$ = n2o``),,``dry_climate``|``wet_climate``,,,,0,0.8,1.2
Input,EF4 N Volatilisation and Re-Deposition Emission Factor," | See :math:`EF_4` from Table 11.3 in V4, C11 IPCC GNGHGI 2019R
 | 
 | This emission factor is given by the IPCC as kg :math:`\text{N}_2\text{O-N}`(kg :math:`\text{NH}_3\text{-N} + \text{NO}_x\text{-N}`), and it is multipled in the by the factor 11/7 to convert :math:`\text{N}_2\text{O-N}` to  :math:`\text{N}_2\text{O}`.",``ef_soil_ef4_n_volatilisation_$EMISSION-GAS$_$CAT-SOIL-MANAGEMENT$`` (``$EMISSION-GAS$ = n2o``),,``dry_climate``|``wet_climate``,,,,0,0.8,1.2
Input,EF5 N Leaching and Runoff Emission Factor," | See :math:`EF_5` from Table 11.3 in V4, C11 IPCC GNGHGI 2019R
 | 
 | This emission factor is given by the IPCC as kg :math:`\text{N}_2\text{O-N}`(kg N), and it is multipled in the by the factor 11/7 to convert :math:`\text{N}_2\text{O-N}` to  :math:`\text{N}_2\text{O}`.",``ef_soil_ef5_n_leaching_$EMISSION-GAS$`` (``$EMISSION-GAS$ = n2o``),,none,,,,0,0.8,1.2
Input,Initial Non-Urea Synthetic Fertilizer Use,,``qtyinit_soil_synthetic_fertilizer_non_urea_$UNIT-MASS$`` (``$UNIT-MASS$ = kt``),,none,,,,0,1,1
Input,Initial Urea Synthetic Fertilizer Use,,``qtyinit_soil_synthetic_fertilizer_urea_$UNIT-MASS$`` (``$UNIT-MASS$ = kt``),,none,,,,0,1,1
Input,Leaching Fraction of N Lost," | See :math:`FRAC_{LEACH-(H)}` from Table 11.3 in V4, C11 IPCC GNGHGI 2019R",``frac_soil_leachh_n_lost_to_leaching``,,none,,,,0,1,1
Input,Volatilisation Fraction from Non-Urea Synthetic Fertilizers," | See :math:`FRAC_{GASF}` from Table 11.3 in V4, C11 IPCC GNGHGI 2019R",``frac_soil_gasf_n_volatilisation_synthetic_fertilizer_non_urea``,,none,,,,0,1,1
Input,Volatilisation Fraction from Organic Amendments and Fertilizers," | See :math:`FRAC_{GASM}` from Table 11.3 in V4, C11 IPCC GNGHGI 2019R",``frac_soil_gasm_n_volatilisation_organic_amendments_fertilizer``,,none,,,,0,1,1
Input,Volatilisation Fraction from Urea Synthetic Fertilizers," | See :math:`FRAC_{GASF}` from Table 11.3 in V4, C11 IPCC GNGHGI 2019R",``frac_soil_gasf_n_volatilisation_synthetic_fertilizer_urea``,,none,,,,0,1,1
Output,:math:`\text{CO}_2` Emissions from Lime and Urea,,``emission_co2e_$EMISSION-GAS$_soil_organic_soils`` (``$EMISSION-GAS$ = n2o``),,none,,,,0,1,1
Output,:math:`\text{N}_2\text{O}` Emissions from Fertilizer Use,,``emission_co2e_$EMISSION-GAS$_soil_fertilizer`` (``$EMISSION-GAS$ = n2o``),,none,,,,0,1,1
Output,:math:`\text{N}_2\text{O}` Emissions from Organic Soils,,``emission_co2e_$EMISSION-GAS$_soil_organic_soils`` (``$EMISSION-GAS$ = n2o``),,none,,,,0,1,1
